text,intention
Tengo un problema con mi pedido,complaint
Estoy muy insatisfecho con el producto,complaint
Gracias por la excelente atención,praise
Me llegó el producto equivocado,complaint
El envío fue rápido y eficiente,praise
El producto llegó dañado,complaint
Estoy muy satisfecho con mi compra,praise
El servicio al cliente fue muy amable,praise
El producto no cumple con la descripción,complaint
El precio es muy razonable,praise
El proceso de devolución es muy complicado,complaint
La calidad del producto es excelente,praise
El tiempo de entrega fue demasiado largo,complaint
El empaque estaba en perfectas condiciones,praise
El producto no funciona como se esperaba,complaint
La tienda tiene una gran variedad de productos,praise
El reembolso tardó mucho en llegar,complaint
El personal de la tienda fue muy atento,praise
El color del producto no coincide con la foto,complaint
Estoy muy contento con mi compra,praise
Tengo un problema con mi pedido,complaint
Estoy muy insatisfecho con el producto,complaint
Gracias por la excelente atención,praise
Me llegó el producto equivocado,complaint
El envío fue rápido y eficiente,praise
El producto llegó dañado,complaint
Estoy muy satisfecho con mi compra,praise
El servicio al cliente fue muy amable,praise
El producto no cumple con la descripción,complaint
El precio es muy razonable,praise
El proceso de devolución es muy complicado,complaint
La calidad del producto es excelente,praise
El tiempo de entrega fue demasiado largo,complaint
El empaque estaba en perfectas condiciones,praise
El producto no funciona como se esperaba,complaint
La tienda tiene una gran variedad de productos,praise
El reembolso tardó mucho en llegar,complaint
El personal de la tienda fue muy atento,praise
El color del producto no coincide con la foto,complaint
Estoy muy contento con mi compra,praise
Tengo un problema con mi pedido,complaint
Estoy muy insatisfecho con el producto,complaint
Gracias por la excelente atención,praise
Me llegó el producto equivocado,complaint
El envío fue rápido y eficiente,praise
El producto llegó dañado,complaint
Estoy muy satisfecho con mi compra,praise
El servicio al cliente fue muy amable,praise
El producto no cumple con la descripción,complaint
El precio es muy razonable,praise
El proceso de devolución es muy complicado,complaint
La calidad del producto es excelente,praise
El tiempo de entrega fue demasiado largo,complaint
El empaque estaba en perfectas condiciones,praise
El producto no funciona como se esperaba,complaint
La tienda tiene una gran variedad de productos,praise
El reembolso tardó mucho en llegar,complaint
El personal de la tienda fue muy atento,praise
El color del producto no coincide con la foto,complaint
Estoy muy contento con mi compra,praise
Quiero saber más sobre sus servicios,info
Quisiera obtener información adicional,info
Me gustaría conocer más sobre sus productos,info
¿Podrían enviarme más detalles?,info
Estoy interesado en sus servicios,info
¿Tienen algún catálogo disponible?,info
Deseo información sobre precios,info
¿Pueden proporcionar más detalles?,info
Me interesa saber más sobre lo que ofrecen,info
Necesito información adicional,info
¿Podrían enviarme un folleto?,info
Me gustaría recibir más información,info
Quisiera saber más sobre sus planes,info
Estoy buscando detalles sobre sus servicios,info
¿Tienen una lista de precios?,info
Quisiera más detalles sobre su oferta,info
¿Pueden enviarme información?,info
Estoy interesado en sus productos,info
Necesito conocer más sobre sus servicios,info
Me gustaría saber más sobre su empresa,info
Quiero saber más sobre sus servicios,info
Quisiera obtener información adicional,info
Me gustaría conocer más sobre sus productos,info
¿Podrían enviarme más detalles?,info
Estoy interesado en sus servicios,info
¿Tienen algún catálogo disponible?,info
Deseo información sobre precios,info
¿Pueden proporcionar más detalles?,info
Me interesa saber más sobre lo que ofrecen,info
Necesito información adicional,info
¿Podrían enviarme un folleto?,info
Me gustaría recibir más información,info
Quisiera saber más sobre sus planes,info
Estoy buscando detalles sobre sus servicios,info
¿Tienen una lista de precios?,info
